Date,Symbol,Name,Total Volume,Short Volume,Short Exempt Volume,SEVofSV,SEVofTV,SVofTV,SSR On,Misfire,Sector,Industry,Is ETF,Shares Outstanding,
2020-01-02,GME,"GameStop Corp.",1168597,778292,10793,1.39,0.92,66.6,No,No,Consumer Cyclical,Specialty Retail,No,74379200,
2020-01-03,GME,"GameStop Corp.",852566,565720,5400,0.95,0.63,66.35,No,No,Consumer Cyclical,Specialty Retail,No,74379200,
2020-01-06,GME,"GameStop Corp.",865648,527430,8618,1.63,1,60.93,No,No,Consumer Cyclical,Specialty Retail,No,74379200,
2020-01-07,GME,"GameStop Corp.",1261123,696104,3236,0.46,0.26,55.2,No,No,Consumer Cyclical,Specialty Retail,No,74379200,
2020-01-08,GME,"GameStop Corp.",991624,698066,7477,1.07,0.75,70.4,No,No,Consumer Cyclical,Specialty Retail,No,74379200,
2020-01-09,GME,"GameStop Corp.",661142,506080,4365,0.86,0.66,76.55,No,No,Consumer Cyclical,Specialty Retail,No,74379200,
2020-01-10,GME,"GameStop Corp.",715424,513409,748,0.15,0.1,71.76,No,No,Consumer Cyclical,Specialty Retail,No,74379200,
2020-01-13,GME,"GameStop Corp.",882950,637436,6949,1.09,0.79,72.19,No,No,Consumer Cyclical,Specialty Retail,No,74379200,
2020-01-14,GME,"GameStop Corp.",2312676,1068939,219245,20.51,9.48,46.22,Yes,No,Consumer Cyclical,Specialty Retail,No,74379200,
2020-01-15,GME,"GameStop Corp.",1127870,635976,135701,21.34,12.03,56.39,Yes,No,Consumer Cyclical,Specialty Retail,No,74379200,
2020-01-16,GME,"GameStop Corp.",1017318,764852,9025,1.18,0.89,75.18,No,No,Consumer Cyclical,Specialty Retail,No,74379200,
2020-01-17,GME,"GameStop Corp.",894900,602860,9177,1.52,1.03,67.37,No,No,Consumer Cyclical,Specialty Retail,No,74379200,
2020-01-21,GME,"GameStop Corp.",827342,626796,8006,1.28,0.97,75.76,No,No,Consumer Cyclical,Specialty Retail,No,74379200,
2020-01-22,GME,"GameStop Corp.",601406,431302,7725,1.79,1.28,71.72,No,No,Consumer Cyclical,Specialty Retail,No,74379200,
2020-01-23,GME,"GameStop Corp.",486261,269241,3818,1.42,0.79,55.37,No,No,Consumer Cyclical,Specialty Retail,No,74379200,
2020-01-24,GME,"GameStop Corp.",930851,789865,24034,3.04,2.58,84.85,No,No,Consumer Cyclical,Specialty Retail,No,74379200,
2020-01-27,GME,"GameStop Corp.",766443,446775,9384,2.1,1.22,58.29,No,No,Consumer Cyclical,Specialty Retail,No,74379200,
2020-01-28,GME,"GameStop Corp.",613751,394612,2834,0.72,0.46,64.3,No,No,Consumer Cyclical,Specialty Retail,No,74379200,
2020-01-29,GME,"GameStop Corp.",594821,479050,813,0.17,0.14,80.54,No,No,Consumer Cyclical,Specialty Retail,No,74379200,
2020-01-30,GME,"GameStop Corp.",806428,623839,5617,0.9,0.7,77.36,No,No,Consumer Cyclical,Specialty Retail,No,74379200,
