Date,Symbol,ShortVolume,ShortExemptVolume,TotalVolume,Market,ShortPercent,ShortExemptPercent,ShortExemptRatio,NonShortVolume,DayOfWeek,WeekNumber,YearWeek,Month,YearMonth
2019-12-24,GME,687905,17000,1185229,"B,Q,N",58.04,1.4343,2.4713,497324,Tuesday,52,2019-W51,2019-12,2019-12
2019-12-26,GME,1120738,2650,1755237,"B,Q,N",63.85,0.151,0.2365,634499,Thursday,52,2019-W51,2019-12,2019-12
2019-12-27,GME,1212552,7360,2314874,"B,Q,N",52.38,0.3179,0.607,1102322,Friday,52,2019-W51,2019-12,2019-12
2019-12-30,GME,856055,27356,1536582,"B,Q,N",55.71,1.7803,3.1956,680527,Monday,1,2019-W52,2019-12,2019-12
2019-12-31,GME,734600,971,1318526,"B,Q,N",55.71,0.0736,0.1322,583926,Tuesday,1,2019-W52,2019-12,2019-12
2020-01-02,GME,1156897,10920,1724835,"B,Q,N",67.07,0.6331,0.9439,567938,Thursday,1,2020-W00,2020-01,2020-01
2020-01-03,GME,832325,12001,1346908,"B,Q,N",61.8,0.891,1.4419,514583,Friday,1,2020-W00,2020-01,2020-01
2020-01-06,GME,701807,20584,1199606,"B,Q,N",58.5,1.7159,2.933,497799,Monday,2,2020-W01,2020-01,2020-01
2020-01-07,GME,962592,7363,2443567,"B,Q,N",39.39,0.3013,0.7649,1480975,Tuesday,2,2020-W01,2020-01,2020-01
2020-01-08,GME,1279359,26196,2338618,"B,Q,N",54.71,1.1201,2.0476,1059259,Wednesday,2,2020-W01,2020-01,2020-01
2020-01-09,GME,628027,2400,965609,"B,Q,N",65.04,0.2485,0.3821,337582,Thursday,2,2020-W01,2020-01,2020-01
2020-01-10,GME,636636,500,980721,"B,Q,N",64.92,0.051,0.0785,344085,Friday,2,2020-W01,2020-01,2020-01
2020-01-13,GME,641469,4717,1197843,"B,Q,N",53.55,0.3938,0.7353,556374,Monday,3,2020-W02,2020-01,2020-01
2020-01-14,GME,3246951,119580,5611233,"B,Q,N",57.87,2.1311,3.6828,2364282,Tuesday,3,2020-W02,2020-01,2020-01
2020-01-15,GME,928588,41426,1746616,"B,Q,N",53.16,2.3718,4.4612,818028,Wednesday,3,2020-W02,2020-01,2020-01
2020-01-16,GME,957227,10548,1486755,"B,Q,N",64.38,0.7095,1.1019,529528,Thursday,3,2020-W02,2020-01,2020-01
2020-01-17,GME,761668,2384,1306763,"B,Q,N",58.29,0.1824,0.313,545095,Friday,3,2020-W02,2020-01,2020-01
2020-01-21,GME,746076,200,1281637,"B,Q,N",58.21,0.0156,0.0268,535561,Tuesday,4,2020-W03,2020-01,2020-01
2020-01-22,GME,558623,3001,1068262,"B,Q,N",52.29,0.2809,0.5372,509639,Wednesday,4,2020-W03,2020-01,2020-01
2020-01-23,GME,207357,700,561690,"B,Q,N",36.92,0.1246,0.3376,354333,Thursday,4,2020-W03,2020-01,2020-01
2020-01-24,GME,954182,43246,1605123,"B,Q,N",59.45,2.6942,4.5323,650941,Friday,4,2020-W03,2020-01,2020-01
2020-01-27,GME,228769,1200,558644,"B,Q,N",40.95,0.2148,0.5245,329875,Monday,5,2020-W04,2020-01,2020-01
2020-01-28,GME,530615,1000,913398,"B,Q,N",58.09,0.1095,0.1885,382783,Tuesday,5,2020-W04,2020-01,2020-01
2020-01-29,GME,341127,184,540777,"B,Q,N",63.08,0.034,0.0539,199650,Wednesday,5,2020-W04,2020-01,2020-01
2020-01-30,GME,807789,9503,1194047,"B,Q,N",67.65,0.7959,1.1764,386258,Thursday,5,2020-W04,2020-01,2020-01
2020-01-31,GME,729095,6080,981738,"B,Q,N",74.27,0.6193,0.8339,252643,Friday,5,2020-W04,2020-01,2020-01
2020-02-03,GME,370461,805,606596,"B,Q,N",61.07,0.1327,0.2173,236135,Monday,6,2020-W05,2020-02,2020-02
2020-02-04,GME,822744,7075,1201663,"B,Q,N",68.47,0.5888,0.8599,378919,Tuesday,6,2020-W05,2020-02,2020-02
2020-02-05,GME,484305,1105,737279,"B,Q,N",65.69,0.1499,0.2282,252974,Wednesday,6,2020-W05,2020-02,2020-02
2020-02-06,GME,325395,4000,519764,"B,Q,N",62.6,0.7696,1.2293,194369,Thursday,6,2020-W05,2020-02,2020-02
2020-02-07,GME,866182,3785,1057876,"B,Q,N",81.88,0.3578,0.437,191694,Friday,6,2020-W05,2020-02,2020-02
2020-02-10,GME,723361,2410,1044173,"B,Q,N",69.28,0.2308,0.3332,320812,Monday,7,2020-W06,2020-02,2020-02
2020-02-11,GME,374183,4082,702167,"B,Q,N",53.29,0.5813,1.0909,327984,Tuesday,7,2020-W06,2020-02,2020-02
2020-02-12,GME,766348,17000,1786383,"B,Q,N",42.9,0.9516,2.2183,1020035,Wednesday,7,2020-W06,2020-02,2020-02
2020-02-13,GME,282345,8869,704248,"B,Q,N",40.09,1.2594,3.1412,421903,Thursday,7,2020-W06,2020-02,2020-02
2020-02-14,GME,236284,1520,627900,"B,Q,N",37.63,0.2421,0.6433,391616,Friday,7,2020-W06,2020-02,2020-02
