Date,Symbol,ShortVolume,ShortExemptVolume,TotalVolume,Market,ShortPercent,ShortExemptPercent,ShortExemptRatio,NonShortVolume,DayOfWeek,WeekNumber,YearWeek,Month,YearMonth
2022-12-23,MSOS,800917,3429,2101212,"B,Q,N",38.12,0.1632,0.4281,1300295,Friday,51,2022-W51,2022-12,2022-12
2022-12-27,MSOS,365342,3257,1288380,"B,Q,N",28.36,0.2528,0.8915,923038,Tuesday,52,2022-W52,2022-12,2022-12
2022-12-28,MSOS,430159,3811,1459061,"B,Q,N",29.48,0.2612,0.886,1028902,Wednesday,52,2022-W52,2022-12,2022-12
2022-12-29,MSOS,330042,0,1092705,"B,Q,N",30.2,0.0,0.0,762663,Thursday,52,2022-W52,2022-12,2022-12
2022-12-30,MSOS,381831,7879,1507872,"B,Q,N",25.32,0.5225,2.0635,1126041,Friday,52,2022-W52,2022-12,2022-12
2023-01-03,MSOS,209303,0,710673,"B,Q,N",29.45,0.0,0.0,501370,Tuesday,1,2023-W01,2023-01,2023-01
2023-01-04,MSOS,334881,0,896059,"B,Q,N",37.37,0.0,0.0,561178,Wednesday,1,2023-W01,2023-01,2023-01
2023-01-05,MSOS,268179,0,649965,"B,Q,N",41.26,0.0,0.0,381786,Thursday,1,2023-W01,2023-01,2023-01
2023-01-06,MSOS,194941,2000,738653,"B,Q,N",26.39,0.2708,1.026,543712,Friday,1,2023-W01,2023-01,2023-01
2023-01-09,MSOS,166332,4166,898774,"B,Q,N",18.51,0.4635,2.5046,732442,Monday,2,2023-W02,2023-01,2023-01
2023-01-10,MSOS,112490,90,372397,"B,Q,N",30.21,0.0242,0.08,259907,Tuesday,2,2023-W02,2023-01,2023-01
2023-01-11,MSOS,192568,11702,526147,"Q,N",36.6,2.2241,6.0768,333579,Wednesday,2,2023-W02,2023-01,2023-01
2023-01-12,MSOS,625344,7248,925569,"B,Q,N",67.56,0.7831,1.159,300225,Thursday,2,2023-W02,2023-01,2023-01
2023-01-13,MSOS,160299,315,412084,"B,Q,N",38.9,0.0764,0.1965,251785,Friday,2,2023-W02,2023-01,2023-01
2023-01-17,MSOS,277871,557,593160,"B,Q,N",46.85,0.0939,0.2005,315289,Tuesday,3,2023-W03,2023-01,2023-01
2023-01-18,MSOS,206836,2843,582153,"B,Q,N",35.53,0.4884,1.3745,375317,Wednesday,3,2023-W03,2023-01,2023-01
2023-01-19,MSOS,162768,3628,622080,"B,Q,N",26.17,0.5832,2.2289,459312,Thursday,3,2023-W03,2023-01,2023-01
2023-01-20,MSOS,201638,7347,512740,"Q,N",39.33,1.4329,3.6437,311102,Friday,3,2023-W03,2023-01,2023-01
2023-01-23,MSOS,224778,3255,699667,"Q,N",32.13,0.4652,1.4481,474889,Monday,4,2023-W04,2023-01,2023-01
2023-01-24,MSOS,168182,4743,490594,"B,Q,N",34.28,0.9668,2.8202,322412,Tuesday,4,2023-W04,2023-01,2023-01
2023-01-25,MSOS,244388,330,895345,"B,Q,N",27.3,0.0369,0.135,650957,Wednesday,4,2023-W04,2023-01,2023-01
2023-01-26,MSOS,334962,3488,1131131,"B,Q,N",29.61,0.3084,1.0413,796169,Thursday,4,2023-W04,2023-01,2023-01
2023-01-27,MSOS,167563,0,622742,"B,Q,N",26.91,0.0,0.0,455179,Friday,4,2023-W04,2023-01,2023-01
2023-01-30,MSOS,160403,421,509914,"B,Q,N",31.46,0.0826,0.2625,349511,Monday,5,2023-W05,2023-01,2023-01
2023-01-31,MSOS,851512,10900,1896495,"B,Q,N",44.9,0.5747,1.2801,1044983,Tuesday,5,2023-W05,2023-01,2023-01
2023-02-01,MSOS,898727,26006,2291076,"B,Q,N",39.23,1.1351,2.8936,1392349,Wednesday,5,2023-W05,2023-02,2023-02
2023-02-02,MSOS,608598,23307,1484846,"B,Q,N",40.99,1.5697,3.8296,876248,Thursday,5,2023-W05,2023-02,2023-02
2023-02-03,MSOS,339807,2940,801701,"B,Q,N",42.39,0.3667,0.8652,461894,Friday,5,2023-W05,2023-02,2023-02
2023-02-06,MSOS,66030,225,279853,"B,Q,N",23.59,0.0804,0.3408,213823,Monday,6,2023-W06,2023-02,2023-02
2023-02-07,MSOS,213432,11978,578044,"B,Q,N",36.92,2.0722,5.6121,364612,Tuesday,6,2023-W06,2023-02,2023-02
2023-02-08,MSOS,98742,2179,255322,"Q,N",38.67,0.8534,2.2068,156580,Wednesday,6,2023-W06,2023-02,2023-02
2023-02-09,MSOS,259737,0,624597,"B,Q,N",41.58,0.0,0.0,364860,Thursday,6,2023-W06,2023-02,2023-02
2023-02-10,MSOS,186996,900,592982,"B,Q,N",31.53,0.1518,0.4813,405986,Friday,6,2023-W06,2023-02,2023-02
2023-02-13,MSOS,141449,74,423970,"Q,N",33.36,0.0175,0.0523,282521,Monday,7,2023-W07,2023-02,2023-02
2023-02-14,MSOS,289128,0,790287,"B,Q,N",36.59,0.0,0.0,501159,Tuesday,7,2023-W07,2023-02,2023-02
2023-02-15,MSOS,215807,12600,595129,"B,Q,N",36.26,2.1172,5.8386,379322,Wednesday,7,2023-W07,2023-02,2023-02
2023-02-16,MSOS,516050,13709,1169575,"B,Q,N",44.12,1.1721,2.6565,653525,Thursday,7,2023-W07,2023-02,2023-02
2023-02-17,MSOS,191311,0,537546,"B,Q,N",35.59,0.0,0.0,346235,Friday,7,2023-W07,2023-02,2023-02
2023-02-21,MSOS,160087,2960,504079,"B,Q,N",31.76,0.5872,1.849,343992,Tuesday,8,2023-W08,2023-02,2023-02
2023-02-22,MSOS,137754,139,567264,"B,Q,N",24.28,0.0245,0.1009,429510,Wednesday,8,2023-W08,2023-02,2023-02
2023-02-23,MSOS,119211,0,311383,"Q,N",38.28,0.0,0.0,192172,Thursday,8,2023-W08,2023-02,2023-02
2023-02-24,MSOS,179018,2386,418196,"Q,N",42.81,0.5705,1.3328,239178,Friday,8,2023-W08,2023-02,2023-02
2023-02-27,MSOS,115352,895,445538,"B,Q,N",25.89,0.2009,0.7759,330186,Monday,9,2023-W09,2023-02,2023-02
2023-02-28,MSOS,86454,240,248214,"B,Q,N",34.83,0.0967,0.2776,161760,Tuesday,9,2023-W09,2023-02,2023-02
2023-03-01,MSOS,598098,587,1468518,"Q,N",40.73,0.04,0.0981,870420,Wednesday,9,2023-W09,2023-03,2023-03
2023-03-02,MSOS,267439,384,720659,"B,Q,N",37.11,0.0533,0.1436,453220,Thursday,9,2023-W09,2023-03,2023-03
2023-03-03,MSOS,143501,1372,464664,"B,Q,N",30.88,0.2953,0.9561,321163,Friday,9,2023-W09,2023-03,2023-03
2023-03-06,MSOS,146681,8000,469321,"B,Q,N",31.25,1.7046,5.454,322640,Monday,10,2023-W10,2023-03,2023-03
2023-03-07,MSOS,107814,0,480005,"B,Q,N",22.46,0.0,0.0,372191,Tuesday,10,2023-W10,2023-03,2023-03
2023-03-08,MSOS,197185,1657,653468,"B,Q,N",30.18,0.2536,0.8403,456283,Wednesday,10,2023-W10,2023-03,2023-03
2023-03-09,MSOS,214342,0,707369,"B,Q,N",30.3,0.0,0.0,493027,Thursday,10,2023-W10,2023-03,2023-03
2023-03-10,MSOS,124745,197,497379,"B,Q,N",25.08,0.0396,0.1579,372634,Friday,10,2023-W10,2023-03,2023-03
2023-03-13,MSOS,111801,486,527599,"B,Q,N",21.19,0.0921,0.4347,415798,Monday,11,2023-W11,2023-03,2023-03
2023-03-14,MSOS,68689,588,317786,"Q,N",21.61,0.185,0.856,249097,Tuesday,11,2023-W11,2023-03,2023-03
2023-03-15,MSOS,122184,117,590042,"B,Q,N",20.71,0.0198,0.0958,467858,Wednesday,11,2023-W11,2023-03,2023-03
2023-03-16,MSOS,638111,9257,2125679,"B,Q,N",30.02,0.4355,1.4507,1487568,Thursday,11,2023-W11,2023-03,2023-03
2023-03-17,MSOS,243503,6853,999241,"B,Q,N",24.37,0.6858,2.8143,755738,Friday,11,2023-W11,2023-03,2023-03
2023-03-20,MSOS,160357,631,533054,"B,Q,N",30.08,0.1184,0.3935,372697,Monday,12,2023-W12,2023-03,2023-03
2023-03-21,MSOS,653780,1127,1277908,"B,Q,N",51.16,0.0882,0.1724,624128,Tuesday,12,2023-W12,2023-03,2023-03
2023-03-22,MSOS,68717,68,332403,"B,Q,N",20.67,0.0205,0.099,263686,Wednesday,12,2023-W12,2023-03,2023-03
2023-03-23,MSOS,235460,93,701705,"B,Q,N",33.56,0.0133,0.0395,466245,Thursday,12,2023-W12,2023-03,2023-03
2023-03-24,MSOS,117871,10638,423804,"B,Q,N",27.81,2.5101,9.0251,305933,Friday,12,2023-W12,2023-03,2023-03
2023-03-27,MSOS,347278,151,1025440,"Q,N",33.87,0.0147,0.0435,678162,Monday,13,2023-W13,2023-03,2023-03
2023-03-28,MSOS,96118,785,273498,"Q,N",35.14,0.287,0.8167,177380,Tuesday,13,2023-W13,2023-03,2023-03
2023-03-29,MSOS,60229,363,202559,"B,Q,N",29.73,0.1792,0.6027,142330,Wednesday,13,2023-W13,2023-03,2023-03
2023-03-30,MSOS,190396,219,461043,"Q,N",41.3,0.0475,0.115,270647,Thursday,13,2023-W13,2023-03,2023-03
2023-03-31,MSOS,127850,2806,465207,"B,Q,N",27.48,0.6032,2.1948,337357,Friday,13,2023-W13,2023-03,2023-03
2023-04-03,MSOS,189450,356,614569,"Q,N",30.83,0.0579,0.1879,425119,Monday,14,2023-W14,2023-04,2023-04
2023-04-04,MSOS,158625,0,479437,"B,Q,N",33.09,0.0,0.0,320812,Tuesday,14,2023-W14,2023-04,2023-04
2023-04-05,MSOS,495033,1157,1180107,"B,Q,N",41.95,0.098,0.2337,685074,Wednesday,14,2023-W14,2023-04,2023-04
2023-04-06,MSOS,491747,10233,1175961,"B,Q,N",41.82,0.8702,2.0809,684214,Thursday,14,2023-W14,2023-04,2023-04
2023-04-10,MSOS,201414,5889,475123,"B,Q,N",42.39,1.2395,2.9238,273709,Monday,15,2023-W15,2023-04,2023-04
2023-04-11,MSOS,123009,443,367666,"B,Q,N",33.46,0.1205,0.3601,244657,Tuesday,15,2023-W15,2023-04,2023-04
2023-04-12,MSOS,359215,109,752249,"B,Q,N",47.75,0.0145,0.0303,393034,Wednesday,15,2023-W15,2023-04,2023-04
2023-04-13,MSOS,520461,9669,1019455,"B,Q,N",51.05,0.9484,1.8578,498994,Thursday,15,2023-W15,2023-04,2023-04
2023-04-14,MSOS,403914,558,1735693,"B,Q,N",23.27,0.0321,0.1381,1331779,Friday,15,2023-W15,2023-04,2023-04
2023-04-17,MSOS,371201,300,1423109,"B,Q,N",26.08,0.0211,0.0808,1051908,Monday,16,2023-W16,2023-04,2023-04
2023-04-18,MSOS,220795,382,677108,"Q,N",32.61,0.0564,0.173,456313,Tuesday,16,2023-W16,2023-04,2023-04
